,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
37,GRS Engineering Pvt Ltd. Forging Division,"03, Belagola Industrial Area, Near Karnataka Agrocaran Product, Metagalli, Mysuru, Karnataka 570016, India",https://www.grsforging.com/,918722213766,"Wipro, Kenna Metal, BHEL, Indian Railways, etc.","Europe, Brazil &India",2112 mil INR,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","CNC Machining,Hot Forging","Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel","ISO 9001,IATF 16949:2016",Manual,NA,Yes,NA,Yes,Yes,Yes,3000,70,NA,NA,NA,NA,NA,NA,NA,Vijay,Marketing Manager,marketing@grsforging.com,9986082838,,,,,,
38,Innoforge Pvt. ltd.,"QQ6Q+QR4, Sipcot Ph. I, Hosur, Tamil Nadu 635126, India",https://innoforge.net/,910434442010,"L&T, ZF, Forbes Marshalls, Toshiba, etc.",NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jesintha,Marketing Rep,mktg@innoforge.net,7558113885,,,,,,
39,ME Forge Tech,"2GFF+HQ3, Yeshwanthpur Suburb II Stage, 2nd Stage, Stage 2, Peenya, Bengaluru, Karnataka 560058, India",http://www.meforge-tech.co.in/,919900083824,NA,NA,55 cr,"Automotive,Machinery & Equipments,Steel,Hardware Startups,Consumer Goods",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,ISO 9001:2015(EXCLUDING DESIGN),Yes,19000 sq ft,Yes,Yes,Yes,300,80,8,Yes,6,Yes,55,10,3,Sukumar,Technical/Sales Manager,meforgetech@gmail.com,9900083824,,,,,,
40,Ommi Forge Pvt. Ltd.,"Plot No 300,301 & 302, 3rd Phase, Industrial Area, Malur, Karnataka 563160, India",https://www.ommiforge.com,910998007308,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","CNC Machining,Hot Forging","Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO/TS 16949,Manual,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akshatha,Marketing Rep,marketing@ommiforge.com,9342180085,,,,,,
41,Megatechs Cold Forgings Pvt. Ltd.,"Plot no, 2nd Phase, 109, 4th Cross Rd, KIADB Industrial Area, Jigani, Karnataka 560105, India",http://www.megamilesgroup.com/,918027825991,"Bosch ltd, SEG Automotive, RSB Transmissions (I) Ltd, Maini Precision",NA,25cr,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups",Cold Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,Objectives and Key performance Indicators,Yes,32670 sq ft,NA,Yes,Yes,600,60,12,2,7,NA,36,5,6,Umashankar,Director,megatechs.marketing@gmail.com,9845882276,,,,,,
42,CodeQ Technologies,"1, 13th Cross Rd, Gruhalakshmi Housing Colony, Peenya, Bengaluru, Karnataka 560058, India",https://codeqtech.wordpress.com/,919845587552,NA,"India, Italy, etc.",NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,Yes,20000 sq ft,Yes,Yes,Yes,30,80,8,3,6,NA,15,2,Yes,Srinivas,Sales Manager,srinivasprasad.codeq@gmail.com,9342122633,,,,,,
43,INDIA PACKAGING PRODUCTS PRIVATE LIMITED,"Plot No.7, Doddabalapur Industrial Area, Basettihalli Village, Kasaba Hobli, Doddabalapur Taluk, Bengaluru, Karnataka 561203, India",www.ippplastics.com,910802346676,NA,India & Bangladesh,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,Yes,25000 sq ft,Yes,Yes,Yes,60,80,8,3,6,Yes,36,3,Yes,Ganesh,Director,info@ippplastics.com,9742510186,,,,,,
44,Kaizen Ferro Cast,"4QRM+R7H, Shapar, Gujarat 360024, India",www.kaizenferrocast.com,910282725439,"ABB, ZF, SIEMENS, etc","USA, Germany, Poland, China, Finland, Checz, Italy, etc",NA,"Machinery & Equipments,Oil & Gas",Casting,NA,"ISO 9001,IATF 16949","Manual,CMM",NA,YES,150000 sq ft,Yes,Yes,Yes,9600 MT Year,650 MT Year,8,3,6,NA,185 employes,NA,NA,Gautam,MD,info@kaizenferrocast.com,9687372710,,,,,,
45,ATC Precision Components Pvt. Ltd.,"201, Sector 6, Imt Manesar, Gurugram, Haryana 122051, India",https://atcprecomp.com/,910981050991,Major automotive OEM,INDIA,620 mil INR,"Automotive,Consumer Goods,Hardware Startups,Robotics,Healthcare,Machinery & Equipments,Aerospace",Injection Molding,Injection Molding: Plastic,IATF 16949,"Manual,CMM",NA,NA,4000 Sq mt,Yes,Yes,Yes,NA,NA,8,3,6,NA,Total 300 employees,NA,NA,Ankit,Director,ankit@atcprecomp.com,9891138668,,,,,,
46,Plan Measuring Services LLP,"254/B, Hosur Rd, Electronic City Phase II, Bommasandra Industrial Area, Bengaluru, Karnataka 560099, India",http://www.planms.in/,919844069995,NA,INDIA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Consumer Goods,Oil & Gas,Healthcare,Hardware Startups,Robotics",Others,NA,,"CMM,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,Chatur,MD,cp@planms.in,9844069995,,,,,,
47,A.D. Casting,"Shivalay industrial Area, Survey no. 280, Plot No. 1/4,, Padavala-Gundasara Road,, near Shapar, Padavala, Gujarat 360024, India",http://www.adcasting.in/,919033977975,NA,INDIA,NA,"Machinery & Equipments,Automotive,Oil & Gas,Consumer Goods",Sand Casting,NA,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,Mohit,Director,info@adcasting.in,9428053273,,,,,,
48,Sudhir Enterprises,NA,,NA,NA,NA,NA,,CNC Machining,NA,"ISO 9001,IATF 16949",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
49,Engineered Polymers,"86, Jigani Industrial Area, Vaddarapalya, Bengaluru, Karnataka 562106, India",www.enplasin.com,919686447492,NA,NA,NA,"Healthcare,Aerospace",CNC Machining,CNC Machining: Plastics,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naushil,Engineering Manager,naushil@enplasin.com,9886288408,,,,,,
50,Excellence Technologies,"B380, Peenya Main Rd, Netaji Nagar, Peenya, Bengaluru, Karnataka 560058, India",,919980508820,NA,NA,NA,"Machinery & Equipments,Oil & Gas,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,"CMM,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sunil,CEO,sunilkumar@excellencetechnologies.net,9980508820,,,,,,
51,K K Precision Components,"Nageswara Rao Road, 205/2, Sri Ganesh Street, Athipet, Gandhi Nagar, Ambattur, Chennai, Tamil Nadu 600058, India",http://kkprecision.in/,919566209288,NA,NA,NA,Automotive,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass","ISO 9001,IATF 16949","Manual,CMM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saravanan,CEO,admin@kkprecision.in,9566209288,,,,,,
52,Mauli Engineering,"A.No.24, D.R Lande Patil, Gulve Vasti, M.I.D.C, Sector 10, MIDC, Bhosari, Pimpri-Chinchwad, Maharashtra 411026, India",http://www.mauliengineering.net,NA,NA,NA,NA,Automotive,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHINDE,Manager,SHINDEDS56@GMAIL.COM,9423764956,,,,,,
53,Neepuna Manufacturing Solutions,"#53, Kachohalli Industrial Main Road, Bylakonehalli, near Sai Baba Temple, Bengaluru, Karnataka 560091, India",http://neepunamanufacturing.com/,NA,NA,NA,NA,"Automotive,Aerospace,Oil & Gas,Healthcare",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Plastics",ISO 9001,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puttaswamy,Director,puttaswamy@neepunamanufacturing.com,9886833327,,,,,,
54,Sai Ram Engineering,NA,,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
55,Saroj Engineering,"1/282B, Grapes Garden, Bharathi Nagar, Mookondapalli, Tamil Nadu 635126, India",,919245142169,NA,NA,NA,Machinery & Equipments,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GURUMURTHY,Proprietor,sarojengg.guru@gmail.com,9245142169,,,,,,
56,Sinor Industries,"3, Patel Samaj Rd, Ranjit Nagar, Summair Club Road, Jamnagar, Gujarat 361005, India",http://www.sinorind.com/,919712451830,NA,NA,NA,Consumer Goods,CNC Machining,CNC Machining: Brass,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ashish,Manager,,9712451830,,,,,,
57,Sri Balaji Industries,"634, Peenya 1st Stage, Peenya, Bengaluru, Karnataka 560058, India",www.sbiworks.com,NA,NA,NA,NA,Machinery & Equipments,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Mild Steel,CNC Machining: Stainless Steels",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arun,CEO,sribalaaji.industries@yahoo.com,9845042073,,,,,,
58,Audhe Industries,"plot No: 132 & 133 sidco Industrial Estate, Malumichampatti, Tamil Nadu 641050, India",https://audhe.com/,916379071720,NA,NA,NA,"Consumer Goods,Machinery & Equipments,Oil & Gas","Gravity Die Casting,Die Casting,CNC Machining","Gravity Die Casting: Aluminium,CNC Machining: Brass,CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Mild Steel,CNC Machining: Aluminium Alloys,CNC Machining: Stainless Steels",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akhil,Sales Engineer,akhil@audhe.com,6379071720,,,,,,
59,Komtech Plastic,"2GFC+M54, Phase 3, Peenya, Bengaluru, Karnataka 560058, India",http://komtechindia.com/,919591998572,NA,NA,NA,"Automotive,Consumer Goods,Healthcare,Aerospace",Injection Molding,Injection Molding: Plastic,"ISO 9001,ISO/TS 16949","CMM,Profile Projector,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sreenivas,Operations head,sreenivas.opeations@komtechindia.com,9591998572,,,,,,
60,Kruger,NA,http://www.kruger.industries/,918123342780,NA,NA,NA,"Consumer Goods,Automotive",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rajalingam,Founder,kruger@microtex.in,8123342780,,,,,,
61,Plasmotek,"B-51, ITI Ancillary Estate, Mahadevpura,Whitefield Road, Bengaluru - 5600 48 banglore, Devasandra Industrial Estate, Krishnarajapura, Bengaluru, Karnataka 560048, India",http://www.plasmotek.com/,919845681205,NA,NA,NA,"Automotive,Healthcare",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHAJI,MANAGING PARTNER,shaji@plasmotek.com,9845681205,,,,,,
62,Techno Science Industries,"S.F, NO 1167, 2B, Alasanatham Rd, Venkatesh nagar, Hosur, Tamil Nadu 635109, India",https://techno-science-industries.business.site/,919489580565,NA,NA,NA,"Automotive,Consumer Goods",Injection Molding,Injection Molding: Plastic,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vasu,Founder,technoscienceindustries@gmail.com,9489580565,,,,,,
63,Triton Tech,"No.1, Plot No.240/241, KIADB Industrial Area Bommasandra - Jigani Link Road, Jigani, Post, Bengaluru, Karnataka 560105, India",https://tdcgroup.com/,919986155282,NA,NA,NA,"Machinery & Equipments,Consumer Goods,Healthcare","CNC Machining,Injection Molding","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Plastics,Injection Molding: Plastic",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jubin,,sebastian.joseph@tdcgroup.in,9597320973,Parthasarathy,,parthasarathy.v@tdcgroup.in,9566025390,,
64,Navasthala,"No. 308, 5th Main Rd, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034, India",,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
65,BNR Exports,"B N R Groupplot No. 125/126, Bommasandra Industrial Area, 4th Phase, Jigani Main Road, Bommasandra Industrial Area, Bengaluru, Karnataka 560099, India",http://www.bnrexport.com/,919632166599,NA,NA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Oil & Gas,Steel,Healthcare",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper","ISO 9001,AS 9100","CMM,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
66,Lohatec Precision Pvt. Ltd,"2-331/3 Nithyananda Nagar, Deralakatte, Mangalore, Karnataka 575018, India",http://lohatec.com/,919844674006,NA,NA,NA,"Automotive,Aerospace,Healthcare,Defense",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper,CNC Machining: Plastics","ISO 9001,AS 9100","CMM,Profile Projector,Manual,VMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jackson,Director,sales@lohatec.com,9513666371,Avinash,Manager,avinash.monteiro@lohatec.com,9663659371,,
67,Sapthagiri Precision,"8, 3rd Main Rd, Sannakki Bayalu, Vinayaka Nagar, Kamakshipalya, Bengaluru, Karnataka 560079, India",http://www.sapaero.in/,918892830838,NA,NA,NA,"Aerospace,Defense,Machinery & Equipments,Hardware Startups,Robotics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys","ISO 9001,AS 9100","Profile Projector,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sathya,,saptha6@yahoo.co.in,8892830838,,,,,,
68,Team D Molding,"no 56/1 , kottigepalya , magadi main road, opposite : Indian Instute of Unani Medicine, Kottigepalya, Bengaluru, Karnataka 560091, India",http://www.teamd.in/,919945159859,NA,NA,NA,"Aerospace,Automotive","Injection Molding,CNC Machining","Injection Molding: Plastic,CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys","ISO 9001,AS 9100","Profile Projector,CMM,Manual,Hardness Tester,Roughness Tester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akshay,,akshay@teamd.in,9945159859,,,,,,
69,Unnathi CNC,"487 D1 & D2, 4th Phase, 13th Cross Rd, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058, India",http://www.unnathicnc.com/,919480686747,NA,NA,NA,"Defense,Machinery & Equipments,Oil & Gas,Steel,Aerospace",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper","ISO 9001,AS 9100","CMM,Profile Projector,VMS,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anil,Sales Engineer,rfq@unnathicnc.com,9480686747,,,,,,
70,V3 Technologies,"B-196, 5th Main, 5th main, Opposite to remidex Pharma, Peenya 2nd stage, 2nd Stage, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058, India",https://www.v3techindia.com/,NA,NA,NA,NA,"Aerospace,Defense,Oil & Gas,Machinery & Equipments",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel,CNC Machining: Copper","ISO 9001,AS 9100","CMM,Profile Projector,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
71,Kanthi Precision,"P No126 B, Bommasandea Ind Area, Taluk, Anekal, Hosur Rd, Electronic City, Bengaluru, Karnataka 560099, India",http://www.kanthiprecisions.com/,919180416587,"MITSUBISHI CORPORATION, JAPAN HINDUSTAN AERONAUTICS LIMITED NATIONAL AEROSPACE LAB FOOD PROCESSING INDUSTRY DEFENCE ESTABLISHMENTS",India & Japan,NA,"Automotive,Machinery & Equipments,Defense,Oil & Gas,Steel,Consumer Goods,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,"CMM,Manual",NA,NA,40'X100',Yes,Yes,Yes,NA,70,NA,NA,6,NA,NA,NA,NA,Vijay,Director,kanthiprecisions@gmail.com,9343758731,,,,,,
72,BTM Forgings Pvt. Ltd.,"67 - C, II nd Stage, near Patel Sree Jee Cold Storage, Tarihal Industrial Area, Estate, Tarihal, Hubli, Karnataka 580026, India",http://www.btmforgings.com/,919183622106,"1) WEIR BDK, HUBLI 2) TELCON, BELUR, DHARWAD 3) VOLTECH TEJAS PVT. LTD., CHENNAI 4) GURU ENGINEERING, HUBLI 5) T S PUMPS AND VALVES PVT. LTD., HUBLI 6) VALTECH CORPORATION PVT. LTD., HUBLI 7) FLUIDMECH ENGINEERING, GOA 8) AQUA VALVES PVT. LTD., BELGAUM 9) HYLOC HYDROTECHNIC PVT. LTD., BELGAUM 10) HYDROMATIK, BELGAUM 11) ZENITH MACHINE TOOLS PVT. LTD., HUBLI 12) S L FLOW CONTROLS PVT. LTD., HUBLI 13) DIGILENT SCM SOLUTIONS, HYDERABAD 14) SMK ENGINEERING, CHENNAI 15) JC VALVES PVT. LTD., CHENNAI 16) BV VALVES PVT. LTD., SATARA 17) MACHINE TOOLS ENGINEERING, BANGALORE 18) SURYA VALVES PVT. LTD., CHENNAI 19) PENNANT ENGINEERING PVT. LTD., PUNE 20) STARMECH CONTROLS (I) PVT. LTD., PUNE 21) S R CORPORATION, HUBLI",India,NA,"Automotive,Machinery & Equipments,Oil & Gas,Consumer Goods,Steel",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,NA,NA,4050 sq.mt,Yes,Yes,Yes,100,60-70%,NA,NA,6,Yes,NA,NA,NA,Deepak,Marketing Rep,sales@btmgroup.in,9606798417,,,,,,
73,Pioneer NF Forgings India Pvt. Ltd.,"Q2PG+XG7, Maraimalai Nagar, Tamil Nadu 603209, India",http://pioneernf.com/,914443168181,Ashok Leyland Mahindra & Mahindra Ltd Scooters India - Lucknow Mahindra Electric Ltd - Bangalore POLARIS TVS BAJAJ Brakes India ZF Vaaroc,"India, (USA, Bulgaria, Italy, Switzerland, Mexico, Beijing, Brazil, Siamen, Russia, Turkey, Vietnam,",NA,"Automotive,Defense,Machinery & Equipments,Oil & Gas,Consumer Goods,Hardware Startups",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel","ISO 9001,ISO 45001,IATF 16949:2016",Manual,NA,NA,"64,800 Sq.feet",Yes,Yes,Yes,NA,NA,NA,NA,6,NA,NA,NA,NA,Angannan,AGM- Marketing,marketing.angannan@pioneernf.com,9940168182,,,,,,
74,"Precitech Forgings and Engineering Pvt. Ltd,","DP -112/4, 2nd Main Rd, Ambattur Industrial Estate, Chennai, Tamil Nadu 600058, India",https://precitechforgings.com/,919198410409,NA,NA,NA,"Automotive,Machinery & Equipments,Defense,Oil & Gas,Hardware Startups,Consumer Goods",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
75,Sumangal Forgings Pvt. Ltd.,"Survey No 155, 8-b, Sidc Road : Gondal National Highway, Veraval (Shapar), Veraval (Shapar), Rajkot, Gujarat 360004, India",https://www.sumangalforging.com/,912827252841,NA,"Austria, Belgium, Canada, China, Finland, France, Germany, Italy, Norway, Portugal, Russia, Spain, Sweden, USA & UK",US $ 7.0 Million,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel","IATF 16949:2016,ISO 9001",Manual,NA,NA,"15,000.00 Sq. Mtr.",Yes,Yes,Yes,350,70,NA,NA,6,Yes,NA,15,8,Kalpesh,Executive Director,sales@sumangalforging.com,9825072383,,,,,,
76,Mars Forge Pvt. Ltd,"Survey No. 247/P, Shapar, Gujarat 360024, India",https://marsforge.com/,912827252190,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,630,70,NA,NA,6,NA,NA,NA,NA,Mahesh,Director,info@marsforge.com,912827252190,,,,,,
77,Realtech Forge,"5Q5H+R66, Shapar, Gujarat 360024, India",https://www.realtechforge.com/,919102827253,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Oil & Gas,Consumer Goods,Hardware Startups,Steel",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Carbon Steel,Forging: Mild Steel","IATF 16949:2016,ISO 9001",Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,,,,,,,,,,
78,Aditya Auto Components,"#413, 9th Cross Rd, Govindaraja Nagar Ward, Pete Channappa Industrial Estate, Kamakshipalya, Bengaluru, Karnataka 560079, India",https://www.adityaac.com/,910802348178,BOSCH hema endÃ¼striÌ‡ a.ÅŸ. Stanadyne Rollon Hydraulics Pvt. Ltd. Honeywell Spark Minda group Manudem Multitech Usha TE Connectivity,INDIA,234 mil INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper",IATF 16949:2016,"CMM,Manual,Profile Projector,Hardness Tester,VMS,Roughness Tester",NA,,68021 sq ft,Yes,Yes,Yes,N,70,NA,NA,6,NA,318 Total Employees,NA,NA,Abhishek,MARKETING DEPT,enquiry@adityaautocomponents.com,9071399920,,,,,,
79,Vishwakarma Tech,NA,,919482597452,NA,India,50 Lakhs INR,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Aerospace,Hardware Startups,Robotics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper",ISO 9001,Manual,"Metrics associated with ISO 9001, customer satisfaction, traceability, preventive actiona nd corrective action, uptime and downtime, reject ratio, rework ratio,",5S,70 Sqm,Yes,Yes,Yes,20,70,8,3,6,NA,3,2,2,,,,,,,,,,
80,PRECISION COMPAID MOULDINGS PVT LTD,"No.27-B, Hosur Rd, Industrial Area, Stage 2, Electronic City, Bengaluru, Karnataka 560100, India",https://precisioncompaid.in/,91087833798,"TVS, Bosch, Wipro, Pricol, Continental AG, etc.",INDIA,22 Cr,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Hardware Startups,Robotics",Injection Molding,Injection Molding: Plastic,IATF 16949:2016,"Manual,CMM",NA,Yes,3152 sq m,Yes,Yes,Yes,NA,70,8,3,6,NA,Total 89 Employees,NA,NA,,,,,,,,,,
81,LINIT EXPORTS PRIVATE LIMITED,"112/113, Off., Kanakia Western Edge II, Western Express Hwy, Food Corporation of India Warehouse, Borivali East, Mumbai, Maharashtra 400066, India",www.linitindia.com,919821161388,"CRANE, XYLEM, WUERTH","GERMANY, USA,UK, ISAREL,SPAIN ITALY, SWEDEN,FRANCE,POLAND,TURKEY, RUSSIA,NETHERLAND, SWEDEN, AUSTRALIA,MEXICO,JAPAN,CZECH REPUBLIC, INDIA, FINLAND, AUSTRIA, ESTONIA,SLOVENIA",13.01 Mil USD,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups","CNC Machining,Investment Casting","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,"CMM,Manual,Profile Projector,VMS,Hardness Tester,Roughness Tester","REJECTION , COPQ, OTD, HIT RATIO, CUSTOMER COMPLAINT, VENDOR RATING",KAIZEN & 5S,NA,Yes,Yes,Yes,NA,NA,8.5,2,6,Yes,300,35,4,NITIN,MD,nitin@linitindia.com,9821161388,,,,,,
